row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales
236,US-2018-100930,7/4/2018,12/4/2018,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976
245,CA-2015-131926,1/6/2015,6/6/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86
248,CA-2015-131926,1/6/2015,6/6/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
252,CA-2017-145625,11/9/2017,17/09/2017,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037.0,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37
258,US-2016-159982,28/11/2016,4/12/2016,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623.0,Central,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904
263,US-2015-106992,19/09/2015,21/09/2015,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
264,US-2015-106992,19/09/2015,21/09/2015,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036.0,Central,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
271,CA-2018-163979,28/12/2018,2/1/2019,Second Class,KH-16690,Kristen Hastings,Corporate,United States,San Francisco,California,94110.0,West,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84
282,US-2016-161991,26/09/2016,28/09/2016,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070.0,Central,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4
283,CA-2016-130890,2/11/2016,6/11/2016,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84
289,CA-2017-112697,18/12/2017,20/12/2017,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48
300,CA-2017-142545,28/10/2017,3/11/2017,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109.0,East,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082.48
319,CA-2015-164973,4/11/2015,9/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
329,US-2017-141544,30/08/2017,1/9/2017,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,786.744
336,CA-2016-137946,1/9/2016,4/9/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984
339,CA-2015-129924,12/7/2015,17/07/2015,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122.0,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,698.352
342,CA-2015-122336,13/04/2015,17/04/2015,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,509.97
354,CA-2017-129714,1/9/2017,3/9/2017,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009.0,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168
360,CA-2018-155698,8/3/2018,11/3/2018,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907.0,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84
370,CA-2017-155516,21/10/2017,21/10/2017,Same Day,MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92
374,US-2015-119137,23/07/2015,27/07/2015,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936
378,US-2018-134481,27/08/2018,1/9/2018,Standard Class,AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038.0,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424
393,US-2015-135972,21/09/2015,23/09/2015,Second Class,JG-15115,Jack Garza,Consumer,United States,Des Moines,Washington,98198.0,West,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,1799.97
400,CA-2017-108987,8/9/2017,10/9/2017,Second Class,AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036.0,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656
407,CA-2018-117457,8/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976
409,CA-2018-117457,8/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024
413,CA-2018-117457,8/12/2018,12/12/2018,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110.0,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829
425,CA-2018-155705,21/08/2018,23/08/2018,Second Class,NF-18385,Natalie Fritzler,Consumer,United States,Jackson,Mississippi,39212.0,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4
434,CA-2017-127369,6/6/2017,7/6/2017,First Class,DB-13060,Dave Brooks,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,714.3
437,CA-2017-147375,12/6/2017,14/06/2017,Second Class,PO-19180,Philisse Overcash,Home Office,United States,Chicago,Illinois,60623.0,Central,TEC-MA-10002937,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979
455,CA-2018-147277,20/10/2018,24/10/2018,Standard Class,EB-13705,Ed Braxton,Corporate,United States,Akron,Ohio,44312.0,East,OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,665.408
458,US-2017-157945,26/09/2017,1/10/2017,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Decatur,Illinois,62521.0,Central,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,747.558
461,CA-2016-109638,15/12/2016,22/12/2016,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Seattle,Washington,98115.0,West,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,899.91
464,CA-2017-109869,22/04/2017,29/04/2017,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023.0,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63
474,CA-2015-144666,9/11/2015,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,703.968
481,CA-2017-100790,26/06/2017,2/7/2017,Standard Class,JG-15805,John Grady,Corporate,United States,New York City,New York,10024.0,East,OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.25
486,CA-2018-140963,10/6/2018,13/06/2018,First Class,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045.0,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165
488,CA-2015-154627,29/10/2015,31/10/2015,First Class,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952
503,US-2017-105578,30/05/2017,4/6/2017,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134.0,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568
510,CA-2016-145352,16/03/2016,22/03/2016,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95
516,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95
519,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02
527,CA-2018-113558,21/10/2018,26/10/2018,Standard Class,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,33801.0,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952
530,US-2016-138303,3/9/2016,7/9/2016,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,666.248
534,CA-2017-168753,29/05/2017,1/6/2017,Second Class,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116.0,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,979.95
543,US-2016-120161,18/12/2016,23/12/2016,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,Springfield,Ohio,45503.0,East,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,646.776
552,CA-2017-136406,15/04/2017,17/04/2017,Second Class,BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110.0,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.568
555,CA-2018-100650,29/06/2018,3/7/2018,Second Class,DK-13225,Dean Katz,Corporate,United States,Anaheim,California,92804.0,West,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78
558,CA-2017-113243,10/6/2017,15/06/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045.0,West,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1335.68
596,CA-2015-131450,8/8/2015,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976
614,CA-2017-121223,11/9/2017,13/09/2017,Second Class,GD-14590,Giulietta Dortch,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,728.946
624,CA-2016-138009,29/11/2016,3/12/2016,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126.0,Central,OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,555.21
625,CA-2016-138009,29/11/2016,3/12/2016,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126.0,Central,OFF-ST-10001272,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",523.48
639,CA-2017-115917,20/05/2017,25/05/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591.0,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2
658,US-2017-156097,19/09/2017,19/09/2017,Same Day,EH-14125,Eugene Hildebrand,Home Office,United States,Aurora,Illinois,60505.0,Central,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,701.372
660,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",999.432
661,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,724.08
662,CA-2016-146563,24/08/2016,28/08/2016,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017.0,Central,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,918.785
684,US-2018-168116,4/11/2018,4/11/2018,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217.0,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98
709,CA-2015-112158,2/12/2015,4/12/2015,First Class,DP-13165,David Philippe,Consumer,United States,New York City,New York,10035.0,East,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92
722,CA-2017-142335,15/12/2017,19/12/2017,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205.0,Central,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94
731,US-2017-150861,3/12/2017,6/12/2017,First Class,EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572.0,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",542.646
747,CA-2015-124429,27/05/2015,27/05/2015,Same Day,MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105.0,West,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,567.12
754,CA-2017-110499,7/4/2017,9/4/2017,First Class,YC-21895,Yoseph Carroll,Corporate,United States,San Francisco,California,94110.0,West,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.976
766,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74
768,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111.0,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58
770,CA-2017-157245,19/05/2017,24/05/2017,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Arlington,Virginia,22204.0,South,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,641.96
778,CA-2016-144267,21/08/2016,23/08/2016,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110.0,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,544.008
793,CA-2017-105256,20/05/2017,20/05/2017,Same Day,JK-15730,Joe Kamberova,Consumer,United States,Asheville,North Carolina,28806.0,South,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1363.96
807,CA-2015-134313,1/11/2015,7/11/2015,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219.0,West,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1983.968
811,CA-2015-151995,13/10/2015,15/10/2015,First Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Edmonds,Washington,98026.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1298.55
815,CA-2018-143686,14/05/2018,14/05/2018,Same Day,PJ-19015,Pauline Johnson,Consumer,United States,Santa Ana,California,92704.0,West,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93
820,CA-2015-140858,28/06/2015,2/7/2015,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,1228.465
870,CA-2017-158099,3/9/2017,5/9/2017,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1141.47
881,CA-2018-111689,30/11/2018,2/12/2018,Second Class,HP-14815,Harold Pawlan,Home Office,United States,New York City,New York,10024.0,East,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1242.9
894,CA-2018-133256,26/06/2018,27/06/2018,First Class,TH-21550,Tracy Hopkins,Home Office,United States,Detroit,Michigan,48227.0,Central,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,543.92
910,CA-2018-137596,2/9/2018,7/9/2018,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201.0,Central,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,1199.8
911,CA-2018-137596,2/9/2018,7/9/2018,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201.0,Central,TEC-AC-10004666,Technology,Accessories,Maxell iVDR EX 500GB Cartridge,1928.78
917,US-2015-141215,15/06/2015,21/06/2015,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207.0,Central,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.944
925,CA-2017-149797,15/09/2017,20/09/2017,Standard Class,AH-10075,Adam Hart,Corporate,United States,New York City,New York,10011.0,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,841.568
943,CA-2017-142958,13/12/2017,20/12/2017,Standard Class,RW-19630,Rob Williams,Corporate,United States,Torrance,California,90503.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1114.272
945,CA-2016-120880,29/05/2016,3/6/2016,Standard Class,JL-15850,John Lucas,Consumer,United States,Seattle,Washington,98105.0,West,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,540.57
948,US-2018-110576,28/11/2018,2/12/2018,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",516.488
949,US-2018-110576,28/11/2018,2/12/2018,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1007.232
950,US-2018-110576,28/11/2018,2/12/2018,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32
970,CA-2018-135279,9/4/2018,11/4/2018,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,10011.0,East,OFF-ST-10001097,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,501.81
978,CA-2018-159366,7/1/2018,10/1/2018,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,48205.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
981,CA-2017-144939,3/10/2017,8/10/2017,Standard Class,EB-13870,Emily Burns,Consumer,United States,New York City,New York,10035.0,East,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,599.292
